20231221	14:55:54	9a540b4e-f2c1-4b4f-bf1d-be45f6944595	ReferenceError: roles is not defined	POST	/users	undefined
20231223	13:09:23	e8c5c9ea-eb77-4088-a6ec-a545dced51b4	ValidationError: Course validation failed: lectures: Cast to embedded failed for value "test lectures" (type string) at path "lectures" because of "ObjectParameterError"	POST	/courses	undefined
20231223	16:05:09	8d46788e-565c-4752-9731-4d8094029f30	Error: Not allowed by CORS	GET	/courses	http://localhost:5173
20231223	16:05:09	75f55ec0-e353-484c-b99c-e141b22f4643	Error: Not allowed by CORS	GET	/courses	http://localhost:5173
20231223	17:10:47	4f224da2-5d9e-4167-a4d1-dd9a19d47371	MulterError: Unexpected field	POST	/courses	http://localhost:5173
20231223	17:11:09	ed237240-398f-48a1-a612-a167517e3dc3	MulterError: Unexpected field	POST	/courses	http://localhost:5173
20231223	17:11:09	18303aa4-b30f-428f-bd7b-f271b77b1333	MulterError: Unexpected field	POST	/courses	http://localhost:5173
20231223	17:11:11	3faf5ae1-e3fc-49da-bb54-45ac2920db0b	MulterError: Unexpected field	POST	/courses	http://localhost:5173
20231223	17:11:11	eb36a369-83d8-42eb-baf6-7edf68776f45	MulterError: Unexpected field	POST	/courses	http://localhost:5173
20231223	17:13:38	5e1b82d2-3df0-443e-9b30-56bd67df87a7	MulterError: Unexpected field	POST	/courses	http://localhost:5173
20231223	17:14:54	727a64a5-5bd9-4497-8bff-8dfb3a2315e3	MulterError: Unexpected field	POST	/courses	http://localhost:5173
20231223	17:14:55	e0980d96-edc7-4eb1-b374-861fa9e439cb	MulterError: Unexpected field	POST	/courses	http://localhost:5173
20231223	17:14:55	d3dcba8c-441d-40c9-9f6b-287d0bc4d513	MulterError: Unexpected field	POST	/courses	http://localhost:5173
20231223	17:14:55	1b04d140-8ba3-485f-9448-6cc2e4062b09	MulterError: Unexpected field	POST	/courses	http://localhost:5173
20231223	17:14:55	34376da1-0175-4a9b-9cfb-dd20a8c9776e	MulterError: Unexpected field	POST	/courses	http://localhost:5173
20231223	21:12:47	3ff2abd5-4344-4790-980a-7d2d3e65d697	Error: ENOENT: no such file or directory, open 'C:\MUT_Projects\Certification\firebase\test01\public\e-learning-space\backend\uploads\0_YwLdZ7cvd6cBb67E.jpg'	POST	/courses	http://localhost:5173
20231223	21:17:03	23c09f7b-6b02-4689-8e89-cffff6e16dad	Error: ENOENT: no such file or directory, open 'C:\MUT_Projects\Certification\firebase\test01\public\e-learning-space\backend\uploads\0_YwLdZ7cvd6cBb67E.jpg'	POST	/courses	http://localhost:5173
20231223	21:32:19	9129a4e3-a1de-487c-9611-c99f306fc869	MulterError: Unexpected field	POST	/courses	http://localhost:5173
20231223	21:34:18	e2a546e5-e8fd-4d26-b9f1-d7df67e29f1e	MulterError: Unexpected field	POST	/courses	http://localhost:5173
20231223	21:39:33	fca9d77d-6839-4741-9de6-91355e79225c	MulterError: Unexpected field	POST	/courses	http://localhost:5173
20231223	21:42:35	4b0e5752-aa3a-4c35-a4c7-8aa4be034e08	MulterError: Unexpected field	POST	/courses	http://localhost:5173
20231223	21:50:00	27dcfbd7-d47f-472b-ba44-00ef008b65e7	MulterError: Unexpected field	POST	/courses	http://localhost:5173
20231223	21:54:51	11e5e1f9-2823-4121-9b05-6c1939fb269b	MulterError: Unexpected field	POST	/courses	http://localhost:5173
20231223	21:56:14	3ceca61b-a5dc-4b15-bebd-2425ee864227	MulterError: Unexpected field	POST	/courses	http://localhost:5173
20231223	21:57:11	563831ef-ec6b-4641-8d3f-309b4ef9e180	MulterError: Unexpected field	POST	/courses	http://localhost:5173
20231223	22:14:27	8518f71d-0be4-4802-b838-1eadacedb14b	MulterError: Unexpected field	POST	/courses	http://localhost:5173
20231223	22:15:07	0290e6b3-6fd8-4302-927e-0aeaa526f0e8	MulterError: Unexpected field	POST	/courses	http://localhost:5173
